"id","star_rating","title","date","site","content_clean_nostop"
"imdb0119",10,"How can this Jewel can be compared to ROMA","2020-01-10","imdb","wow understand excellent compared roma pure gold roma bad aspects bad acting bad rythm history camera alexa 65 disappointment superb"
"imdb0120",10,"A Subtle And Meticulously Scripted Masterpiece In Its Very Calm Portrayal Of Comedy, Corruption And Murder!","2022-08-01","imdb","top 5 list korean time absolute masterpiece genre subtlety engrossed beginning time drawn boring whilst reading studio advertisement blurb luckily rainy day moments knowing fancied finally opted pleased simple existing life poverty south korea people destitute government hides simple piece luck spiraled control blown scam main 4 antagonists deadbeat father miserable grumpy mother selfish foul mouthed daughter attitude kids finally son decent person family lifestyle individual portray roles extremely oscar worthy performances carried calm peaceful laid manner bit mayhem garden party closing stages bad language sex totally unneeded intimate lewd groping family superb 16"
"imdb0121",10,"a treat for the eyes, I didn't have to think too much to give it a 10 ,","2019-10-11","imdb","subtleties talks poor rich nice people bore single minute"
"imdb0122",10,"I've never seen a movie more deserving of a 10/10","2019-11-18","imdb","edit oscars craze compelled talk overrated comments perfect contemporary art easily digestible masses objectively entertaining dc audiences enjoy layered dig days hidden meanings metaphors subtle casual ignore loosing entertainment aspect seek complex message seek 2 hour entertainment overrated phenomenon recently introduced s.korean industry break contemporary hollywood faith excitement restored s.korean firstly talk differences hollywood blockbusters experienced korean reference korean basically crime drama mystery top 3 1 2 chaser 3 memories murder common afraid real relate feel world funny respect weirdly sick hollywood's super cool act refreshing talking time handling topics losing balance mentioned characteristics hard thin line excited discovered s.korean people afraid hollywood industry read research ideally trailer stuck days forget clean slate experience free master class cinematography symbolism brilliant subtle thrown"
"imdb0123",10,"Awesome movie!","2020-02-12","imdb","loved provoking drama comedy impressive twist friends korean brazilian portuguese subtitles language song kang ho excellent taxi driver 2017 awesome filme events gwangju uprising 1980 inclined bong joon ho's"
"imdb0124",10,"Superb casting and direction","2020-01-29","imdb","convincing intense performances directing art photography beautiful specially"
"imdb0125",10,"Spectacular!","2020-02-28","imdb","cinematic excellence original approach meaning process subtitles adds raw feeling authenticity giving real element genuinely intelligent plays explore excellence time captured emotional breathtaking journey takes time brilliance mirrored tactical foreshadow hint time watcher miss outstanding depth analysis projection upper lower class separations shown uniquely highly highly recommended greats time"
"imdb0126",10,"""Parasite"" is a masterful film.","2019-12-04","imdb","powerful perfect leave awe twisted funny tension filled writer bong joon ho's approach social classes creeps suspense hitchcock dramatic thriller elements dark comedy unemployed family schemes wealthier family posing highly qualified individuals begin genre exceed perfectly performances incredible direction joon ho's finest masterful relevant lead shocks makes laugh ranks decade absolute"
"imdb0127",10,"Comes once in a centuary","2020-07-25","imdb","type rare rarest words beautify"
"imdb0128",10,"Simply amazing","2019-10-26","imdb","experience korean started amazing simple kinds feelings starts comedy dramatic expect transition phases smooth acting level bit list stars hollywood"
"imdb0129",10,"Good Story","2020-12-28","imdb","life direction amazing acting perfect"
"imdb0130",10,"Couldn't have been a better first for the Academy","2020-02-22","imdb","international nonenglish win picture glad oscars finally honored world glad add funny social satire engaging thriller heart breaking drama esp rolled feels engaging foremost functions rebuke capital makes richer social themes overwhelm pure storytelling vertical aspect visual constructions stairs camera moving overdone space striking glad blind bought"
"imdb0131",10,"Brilliant","2020-12-12","imdb","captivating cinematography simply amazing title times"
"imdb0132",10,"A blistering black comedy","2020-12-03","imdb","horrendously hilarious portrait typical family committed recent memory narrative global relevance seldom days multi layered social commentary managed korean profusely embedded cultural historical references scattered seemingly etched stone gifted main metaphorical literal brilliant laughed cineplex loud scandalous orgasmic feeling stands phenomenal richness fleshed result multi dimensional qute bong joon ho's finest grasp numerous accolades received release deserved surprised told gonna future forward exploring finding jewel rough alpha"
"imdb0133",10,"Best Film of the year 👏","2019-12-23","imdb","sit review difficult impossible words lacked words afraid true core leaves indifferent metaphorical aspect water blessing catatrophe depending social pyramid stands smell inpregnated people's clothes disgusts arouses rich couple window house comparison poor family basement window question starts simple title basement bottom pyramid middle strive rid smell top pyramid pretend accept lack total respect parasites loose perspective camera leading eyes time time life feeling real movement moving left window screen world inside house theatre"
"imdb0134",10,"Yes, it's really good","2020-03-14","imdb","knowing happily suprised masterpiece"
"imdb0135",10,"The best","2020-02-24","imdb","liking"
"imdb0136",10,"Spectacular movie","2019-12-07","imdb","smart entertaining artistically fulfilling succeeded aspects excels script satisfying highly entertaining world draws completely beautiful difficult judge acting speak language interactions convincing line implausibility ridiculous world similar write review recommend reading enjoyed gladly time future"
"imdb0137",10,"An incredible film which doesn't reduce itself to one genre","2019-09-29","imdb","expected gisaengchung won palme d'or cannes festival bong joon ho's previous exceeded expectations comedy drama thriller horror people enthusiast public entertained appeal enthusiasts public cinematography mise en beautiful korean style similar burning lee chang dong comedy makes laugh eventually thriller horror knowing simply won palme d'or"
"imdb0138",10,"Well deserved the Oscar!","2020-02-22","imdb","line incredible floated piece piece"
"imdb0139",10,"It deserves all the praise","2020-02-29","imdb","finally weeks weeks hearing possibly live praise managed anticipated hell bong joon ho manage incredibly tense darkly funny beautifully amazingly acted masterpiece loved minute staying basements"
"imdb0140",10,"Cinema Personified: Incredible Movie","2023-06-13","imdb","rating 9.5 acting incredible direction incredible incredible comedic trilling powerful korean reading subtitles score complements incredible symbolism commentary class conflict broken separate comedic half thriller half pacing spends time comedic bit half due commentary convey issue pacing leads epilogue rushed incredible"
"imdb0141",10,"One of the best, if not the best movie of the year","2020-01-16","imdb","forward roma international front runner winner 2018 foreign language portrait lady fire personal favourite runner ups transcendent cinematic experience bong joon ho makes walk park genres favorite form art definition art bonghive"
"imdb0142",10,"We're All Parasites..","2020-04-08","imdb","title caught guard horror suspense knowing expect sets perfectly reminded quality storytelling layer top fitted suit connected twists smorgasbord built thunderous crescendo deep parasites class korea's changing game"
"imdb0143",10,"Bong Joon-Ho is a genius!","2020-01-26","imdb","bong joon ho check loved snowpiercer left rest korean unanimously praised short genius knowing makes experience enjoyable combines genres executed rollercoaster emotions extremely funny moments moments tragedy despair times incredibly intense feels inconsistent bong joon ho managed perfect blend funny tones whilst feel smooth extremely manages stay subtle entirety bong joon ho crafted clever motivations believable audience events unfold unrealistic plausible due excellent writing beautiful 2019 colours lighting utilised cinematography downright gorgeous involving water fantastic editing fantastic film's pacing fast dull moment whatsoever aesthetics top notch knives stellar ensemble extraordinary phenomenal job playing roles flaws addressed properly takes makes sense whilst delivering fun themes messages explores bong joon ho sheds light visually exposition commend love respects audience thinking dumb 2019 doubt people immediately miss"
"imdb0144",10,"A brilliant piece of art which will slowly grows on you!","2019-08-19","imdb","written performed technically shines cinematography bgm single lag perfectly edited experience recent times pure art resembles modern society emotions shelved insanely exceptional layered masterpiece dark thrillers miss bong joon ho's tops list 2019"
"imdb0145",10,"JUST GO OUT AND WATCH IT","2019-10-23","imdb","dont comment review deserves dont masterpiece advice dont trailer information"
"imdb0146",10,"astounding","2021-01-12","imdb","classic brilliantly 8 times"
"imdb0147",10,"Truly thought-provoking and telling cinema","2020-02-03","imdb","combine entertainment social commentary equal measure layers events deeper layer compelled slightly takeaway filmmakers valuable recommend 100 percent"
"imdb0148",10,"A masterpiece","2021-03-03","imdb","expecting excellent modern masterpiece"
